Date,田中ちえ美のだららんど,相良茉優のFUN！FAN！FACTORY,かおりんがゆく〜王国奮闘日誌〜,久保田未夢のNice to MEAT you ＆ YOU,大西亜玖璃の大和撫子への道,スナックちえみ倶楽部,村上奈津実のなっチャンネル
2018-12-31,0.0,0.0,0.0,0.0,0.0,0.0,2.833
2019-01-31,0.0,0.0,0.0,0.0,0.0,0.0,2.633
2019-02-28,0.0,0.0,0.0,0.0,0.0,0.0,2.95
2019-03-31,0.0,0.0,0.0,1.35,0.0,0.0,2.75
2019-04-30,0.0,0.0,0.0,3.967,0.0,0.0,3.85
2019-05-31,0.0,0.0,0.0,3.0330000000000004,0.0,0.0,2.633
2019-06-30,0.0,0.0,0.0,3.5,0.0,0.0,2.5
2019-07-31,0.0,0.0,0.0,2.934,0.0,0.0,3.067
2019-08-31,0.0,0.0,0.0,2.8499999999999996,0.0,0.0,2.833
2019-09-30,0.0,0.0,0.0,4.933,0.0,0.0,2.383
2019-10-31,0.0,0.0,0.0,2.817,0.0,0.0,2.8
2019-11-30,0.0,0.0,0.0,2.9669999999999996,0.0,0.0,2.7830000000000004
2019-12-31,0.0,0.0,0.0,3.15,0.0,0.0,3.417
2020-01-31,0.0,0.0,0.0,2.983,0.0,0.0,2.983
2020-02-29,0.0,0.0,0.0,2.666,0.0,0.0,2.817
2020-03-31,0.0,0.0,0.0,3.05,0.0,0.0,3.217
2020-04-30,0.0,0.0,1.1,0.0,0.0,0.0,5.3
2020-05-31,0.0,0.0,1.217,1.433,0.0,0.0,2.9
2020-06-30,0.0,0.0,1.467,1.033,0.0,1.2,3.134
2020-07-31,0.0,0.0,1.4,1.65,0.0,1.233,2.95
2020-08-31,0.0,0.0,3.017,1.533,0.0,1.2,2.833
2020-09-30,0.0,0.0,1.183,1.367,0.0,1.25,4.85
2020-10-31,0.0,0.0,1.383,1.367,0.0,1.233,3.067
2020-11-30,0.0,9.193,1.617,1.583,0.0,1.75,3.783
2020-12-31,0.0,9.584999999999999,1.433,1.85,0.0,1.25,3.466
2021-01-31,0.0,7.776,1.6,1.433,0.0,1.567,3.5
2021-02-28,0.0,11.143,1.5,1.4,0.0,1.417,3.1
2021-03-31,0.0,14.697,1.383,1.333,0.0,1.367,2.9669999999999996
2021-04-30,2.85,18.909000000000002,1.483,1.267,0.0,1.6,7.833
2021-05-31,2.951,41.686,1.8,2.284,0.0,1.3,3.05
2021-06-30,3.583,14.295,1.217,2.316,1.3,1.717,3.516
2021-07-31,4.267,10.165,1.5,1.583,1.4,1.667,3.234
2021-08-31,3.45,51.01,0.0,1.783,1.383,1.633,3.25
2021-09-30,2.733,9.873000000000001,0.0,1.783,1.267,1.517,4.6
2021-10-31,2.166,14.706,0.0,0.0,0.0,0.0,0.0
2021-11-30,0.0,5.7620000000000005,0.0,0.0,0.0,0.0,0.0
